"Name"	"Area_m2"	"d_m"
"42679"	65547.2681383217	288.889899171069
"42687"	10134.2347326423	113.592730477037
"42689"	897651.177570138	1069.07669353531
"42712"	431405.563937736	741.136035977404
"42714"	109042.526085631	372.608717383318
"42745"	36634.4138414024	215.973110365774
"4275"	407002.589187409	719.869287692571
"4285"	2427.73574345097	55.5975642697483
"4286"	928.962095321083	34.3917326595046
"4287"	3916613.42882415	2233.11152856719
"4301"	56057785.6732036	8448.3720034934
"4309"	2445.15373071592	55.7966524345702
"4311"	5348.21290794467	82.5200349494485
"4317"	1121110.66401552	1194.75622260311
"4320"	1729158.63558879	1483.79013137032
"4330"	35589.5031760523	212.870765539159
"4332"	217677.302284563	526.455458001886
"43513"	310983.326866741	629.250561795566
"43525"	8089.17711471614	101.486256147437
"43533"	6016.43188637946	87.5234768273284
"4355"	128752.578634446	404.886248968769
"4358"	3045491.85949743	1969.17258478813
"4362"	36700.1913035488	216.166914367171
"4369"	988048.471080956	1121.61597059573
"4373"	36935.1842808947	216.857873314564
"4378"	781324.930382824	997.403528493287
